,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,price
0,8.3252,41.0,6.98412698413,1.02380952381,322.0,2.55555555556,37.88,-122.23,4.526
1,8.3014,21.0,6.2381370826,0.971880492091,2401.0,2.10984182777,37.86,-122.22,3.585
2,7.2574,52.0,8.28813559322,1.07344632768,496.0,2.80225988701,37.85,-122.24,3.521
3,5.6431,52.0,5.81735159817,1.07305936073,558.0,2.54794520548,37.85,-122.25,3.413
4,3.8462,52.0,6.28185328185,1.08108108108,565.0,2.18146718147,37.85,-122.25,3.422
5,4.0368,52.0,4.76165803109,1.10362694301,413.0,2.13989637306,37.85,-122.25,2.697
6,3.6591,52.0,4.93190661479,0.951361867704,1094.0,2.12840466926,37.84,-122.25,2.992
7,3.12,52.0,4.79752704791,1.06182380216,1157.0,1.78825347759,37.84,-122.25,2.414
8,2.0804,42.0,4.29411764706,1.11764705882,1206.0,2.0268907563,37.84,-122.26,2.267
9,3.6912,52.0,4.97058823529,0.990196078431,1551.0,2.17226890756,37.84,-122.25,2.611
10,3.2031,52.0,5.4776119403,1.07960199005,910.0,2.26368159204,37.85,-122.26,2.815
11,3.2705,52.0,4.77247956403,1.02452316076,1504.0,2.04904632153,37.85,-122.26,2.418
12,3.075,52.0,5.32264957265,1.01282051282,1098.0,2.34615384615,37.85,-122.26,2.135
13,2.6736,52.0,4.0,1.09770114943,345.0,1.98275862069,37.84,-122.26,1.913
14,1.9167,52.0,4.26290322581,1.00967741935,1212.0,1.95483870968,37.85,-122.26,1.592
15,2.125,50.0,4.24242424242,1.07196969697,697.0,2.64015151515,37.85,-122.26,1.4
16,2.775,52.0,5.93957703927,1.04833836858,793.0,2.39577039275,37.85,-122.27,1.525
17,2.1202,52.0,4.05280528053,0.96699669967,648.0,2.13861386139,37.85,-122.27,1.555
18,1.9911,50.0,5.34367541766,1.08591885442,990.0,2.36276849642,37.84,-122.26,1.587
19,2.6033,52.0,5.46545454545,1.08363636364,690.0,2.50909090909,37.84,-122.27,1.629
20,1.3578,40.0,4.52409638554,1.10843373494,409.0,2.46385542169,37.85,-122.27,1.475
21,1.7135,42.0,4.4781420765,1.00273224044,929.0,2.53825136612,37.85,-122.27,1.598
22,1.725,52.0,5.09623430962,1.13179916318,1015.0,2.12343096234,37.84,-122.27,1.139
23,2.1806,52.0,5.19384615385,1.03692307692,853.0,2.62461538462,37.84,-122.27,0.997
24,2.6,52.0,5.27014218009,1.0355450237,1006.0,2.38388625592,37.84,-122.27,1.326
25,2.4038,41.0,4.49579831933,1.03361344538,317.0,2.66386554622,37.85,-122.28,1.075
26,2.4597,49.0,4.7280334728,1.02092050209,607.0,2.53974895397,37.85,-122.28,0.938
27,1.808,52.0,4.78085642317,1.0604534005,1102.0,2.7758186398,37.85,-122.28,1.055
28,1.6424,50.0,4.40169133192,1.04016913319,1131.0,2.3911205074,37.84,-122.28,1.089
29,1.6875,52.0,4.70322580645,1.03225806452,395.0,2.54838709677,37.84,-122.28,1.32
30,1.9274,49.0,5.06878306878,1.18253968254,863.0,2.28306878307,37.84,-122.28,1.223
31,1.9615,52.0,4.8820861678,1.09070294785,1168.0,2.6485260771,37.84,-122.28,1.152
32,1.7969,48.0,5.73731343284,1.22089552239,1026.0,3.06268656716,37.84,-122.27,1.104
